Statistics,Data Analysis,R,Matlab,SPSS,Microsoft Office,LaTeX,Time Series Analysis,Python,SAS,Teamwork,Mathematical Modeling,C,Time Management,Research,Java,RapidMiner,WinBUGS,Machine Learning,Bioinformatics,Genetics,Genomics,SQL,data mining,Machine learning
Data Analysis,Statistical Modeling,R,SAS,Teamwork,Statistics,SPSS,Time Management,Python,Microsoft Excel,Research,Microsoft Office,Public Speaking,Analysis,Regression Analysis,Linear Regression,Survey Design,Analytical Skills,Statistical Data Analysis,JavaScript,Statistical Sampling,Reporting & Analysis,Consumer Insight Generation,Customer Satisfaction Research,Leaflet
SQL,Data Mining,R,Databases,Analytics,Java,Telecommunications,Data Analysis,SAS,Data Integration,VBA,Statistical Data Analysis,Regression Analysis,Marketing Analytics,Test Automation,Integration,Python,Statistical Modeling,PHP,Web Development,Unix,Statistics,Apache Spark,Hive,Amazon Web Services (AWS)
Facebook Messenger Bot API,API.AI,Microsoft Azure Bot Framework,WIT.AI,React.js,Artificial Intelligence,Java,Big Data,Hadoop,Apache Spark,Apache Pig,Apache Kafka,Flume,Hive,Machine Learning,Python,Scala,Deep Learning,Neural Networks,Analytics,Kafka,Tableau,Apache Storm,Oozie,MySQL
R,SQL,SAS,Python,Statistical Modeling,Time Series Analysis,Applied Probability,Data Analysis,Data Visualization,Machine Learning,Big Data,Experimental Design,Bayesian statistics,relational algebra,None,None,None,None,None,None,None,None,None,None,None
Databases,Python,C++,Java,Operating Systems,Data Structures,Amazon Web Services (AWS),Eclipse,Core Java,Algorithms,Linux,MongoDB,Spark,Neo4j,php,None,None,None,None,None,None,None,None,None,None
Data Analysis,Data Mining,R,SQL,Machine Learning,Python,Java,Data Modeling,SAS,Statistics,Big Data,Data Visualization,Requirements Analysis,PostgreSQL,Amazon Redshift,None,None,None,None,None,None,None,None,None,None
Research,Statistics,Data Analysis,Teamwork,LaTeX,Python,Problem Solving,Communication,Probability,Mathematics,Public Speaking,Mathematical Modeling,Programming,Leadership,Teaching,None,None,None,None,None,None,None,None,None,None
Consulting,R Programming,Project Management,Transportation Planning,Research,Engineering,Matlab,Data Analysis,Python,Project Planning,Microsoft Excel,AutoCAD,Teamwork,Microsoft Project,Construction,Statistics,Data Mining,SQL,SAS Programming,R,Apache Spark,Entity Resolution,Data Science,None,None
Python,Apache Spark,Java,C,C++,R,Matlab,Hadoop,HBase,SQL,JavaScript,JSP,Tomcat,OS X,Linux,MySQL,Customer Service,Data Analysis,Databases,None,None,None,None,None,None
